City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Fairbanks,US,2022-07-28 19:46:47,64.8378,-147.7164,63.01,65,20,5.01,few clouds
61,Lodja,CD,2022-07-28 19:48:58,-3.4833,23.4333,77.54,58,100,2.51,overcast clouds
62,Balkhash,KZ,2022-07-28 19:48:58,46.844,74.9804,78.35,42,68,6.49,broken clouds
63,Bilibino,RU,2022-07-28 19:48:59,68.0546,166.4372,50.99,54,11,4.23,few clouds
64,Puerto Madryn,AR,2022-07-28 19:46:01,-42.7692,-65.0385,54.43,47,4,23.76,clear sky
65,Nanortalik,GL,2022-07-28 19:48:59,60.1432,-45.2371,45.43,81,39,6.78,scattered clouds
66,Batemans Bay,AU,2022-07-28 19:48:59,-35.7167,150.1833,43.84,91,88,5.12,overcast clouds
67,Hasaki,JP,2022-07-28 19:49:00,35.7333,140.8333,77.4,90,79,10.94,broken clouds
68,Beloha,MG,2022-07-28 19:49:00,-25.1667,45.05,63.59,84,4,11.52,clear sky
69,Sandpoint,US,2022-07-28 19:48:30,48.2766,-116.5533,96.85,33,0,5.75,clear sky
70,Faya,SA,2022-07-28 19:49:01,18.3851,42.4509,71.71,56,100,1.39,overcast clouds
71,Vao,NC,2022-07-28 19:49:01,-22.6667,167.4833,69.03,66,100,12.41,overcast clouds
72,Yellowknife,CA,2022-07-28 19:46:21,62.456,-114.3525,64.92,68,75,10.36,broken clouds
73,Finschhafen,PG,2022-07-28 19:49:02,-6.6024,147.8681,78.48,78,87,7.92,overcast clouds
74,Rikitea,PF,2022-07-28 19:49:02,-23.1203,-134.9692,73.45,73,91,21.36,overcast clouds
75,Lorengau,PG,2022-07-28 19:49:03,-2.0226,147.2712,80.94,81,70,13.98,broken clouds
76,Puerto Ayora,EC,2022-07-28 19:49:03,-0.7393,-90.3518,78.76,93,77,8.99,broken clouds
77,Ponta Do Sol,PT,2022-07-28 19:49:03,32.6667,-17.1,75.7,81,1,2.93,clear sky
78,Dikson,RU,2022-07-28 19:49:04,73.5069,80.5464,43.39,100,100,15.93,overcast clouds
79,Alto Paraguai,BR,2022-07-28 19:49:04,-14.5136,-56.4825,95.11,15,8,7.09,clear sky
80,Kakching,IN,2022-07-28 19:49:05,24.4833,93.9833,69.57,98,100,1.23,overcast clouds
81,Port Elizabeth,ZA,2022-07-28 19:49:05,-33.918,25.5701,61.09,96,0,4.61,clear sky
82,Ulladulla,AU,2022-07-28 19:44:31,-35.35,150.4667,47.48,83,89,6.51,overcast clouds
83,Chokurdakh,RU,2022-07-28 19:49:06,70.6333,147.9167,49.44,48,100,12.48,overcast clouds
84,Rio Grande,BR,2022-07-28 19:49:06,-32.035,-52.0986,62.71,94,100,19.24,light rain
85,Swellendam,ZA,2022-07-28 19:49:07,-34.0226,20.4417,55.99,56,0,3.33,clear sky
86,Mar Del Plata,AR,2022-07-28 19:49:08,-38.0023,-57.5575,50.09,96,100,18.41,heavy intensity drizzle
87,Chuy,UY,2022-07-28 19:49:08,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds
88,Cherskiy,RU,2022-07-28 19:49:08,68.75,161.3,53.74,50,7,4.0,clear sky
89,Xining,CN,2022-07-28 19:49:09,36.6167,101.7667,55.67,64,99,1.99,overcast clouds
90,Vila Franca Do Campo,PT,2022-07-28 19:49:09,37.7167,-25.4333,73.81,77,11,3.49,few clouds
91,Cobija,BO,2022-07-28 19:49:10,-11.0267,-68.7692,95.18,43,40,9.22,scattered clouds
92,Caazapa,PY,2022-07-28 19:49:10,-26.15,-56.4,75.61,56,100,12.84,overcast clouds
93,Pevek,RU,2022-07-28 19:49:11,69.7008,170.3133,39.61,78,94,2.46,overcast clouds
94,Georgetown,MY,2022-07-28 19:46:03,5.4112,100.3354,80.89,85,20,4.61,few clouds
95,Zhezkazgan,KZ,2022-07-28 19:50:11,47.8043,67.7144,70.29,59,12,14.99,few clouds
96,Mayo,US,2022-07-28 19:50:12,38.8876,-76.5119,94.17,73,75,10.36,broken clouds
97,Yumen,CN,2022-07-28 19:50:00,40.2833,97.2,76.84,13,82,9.42,broken clouds
98,Mill Valley,US,2022-07-28 19:50:10,37.906,-122.545,82.92,82,21,8.99,few clouds
99,Bredasdorp,ZA,2022-07-28 19:50:13,-34.5322,20.0403,52.81,74,0,6.33,clear sky
100,Katsuura,JP,2022-07-28 19:50:13,35.1333,140.3,79.38,91,64,8.99,broken clouds
