City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Daru,PG,75.9,overcast clouds,-9.0763,143.2092,Daru Lodge
289,La Macarena,CO,75.6,overcast clouds,2.1837,-73.7849,Casa Hotel Real
291,Banjar,ID,75.56,overcast clouds,-8.19,114.9675,The Hamsa Resort
292,Naze,JP,79.72,few clouds,28.3667,129.4833,Shishime Hotel
293,Pop,UZ,81.09,overcast clouds,40.8736,71.1089,Ramz Hotel Pap
294,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
299,Paris,FR,75.36,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
304,Dindori,IN,75.65,overcast clouds,22.95,81.0833,Konark Marriage Garden
319,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
321,Marihatag,PH,78.57,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
330,Nanakuli,US,84.15,scattered clouds,21.3906,-158.1547,Camp Pālehua
331,Presque Isle,US,80.85,broken clouds,46.6811,-68.0159,Hampton Inn Presque Isle
337,Matara,LK,77.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
339,Banting,MY,80.74,broken clouds,2.8167,101.5,Hotel Intan Jugra
340,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
343,Galle,LK,78.42,overcast clouds,6.0367,80.217,Amangalla
344,Shenjiamen,CN,79.79,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
347,Meulaboh,ID,75.61,light rain,4.1363,96.1285,Kost Pria
349,Nagato,JP,78.35,clear sky,34.3833,131.2,いそう庵
350,Aitape,PG,76.84,scattered clouds,-3.1374,142.3475,
353,Seoul,KR,80.2,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
356,Ha Giang,VN,77.52,overcast clouds,22.8333,104.9833,Truong Xuan Resort
357,Qui Nhon,VN,78.6,scattered clouds,13.7667,109.2333,Seagull Hotel
359,Iracoubo,GF,81.52,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
362,Tukrah,LY,80.2,clear sky,32.5341,20.5791,Lagrota restaurant
365,Anqing,CN,77.02,overcast clouds,30.5092,117.0506,Hongtian Hotel
369,Nobeoka,JP,77.92,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
378,Sapa,PH,80.74,overcast clouds,5.1544,120.3241,
380,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
381,Veraval,IN,80.76,overcast clouds,20.9,70.3667,Lords Inn Somnath
383,Sai Buri,TH,76.62,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
388,Pasni,PK,81.68,overcast clouds,25.2631,63.471,Kashmiri Hotal
389,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
390,Guerrero Negro,MX,79.21,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
396,Saint Anthony,US,76.78,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
399,Yilan,TW,82.9,clear sky,24.757,121.753,Dar Chen Hotel
403,Alice Town,BS,83.39,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
416,Deep River,CA,76.75,overcast clouds,46.1001,-77.4995,Deep River Motel
417,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
420,Sinnamary,GF,81.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Goderich,CA,77.92,few clouds,43.7501,-81.7165,Harmony Inn
431,Eraniel,IN,76.37,overcast clouds,8.2,77.3,Hotel sharjah
434,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
438,Bougouni,ML,77.81,broken clouds,11.417,-7.479,Non Stop
446,Shingu,JP,76.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
456,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
457,Ko Samui,TH,82.9,few clouds,9.5357,99.9357,The Passage
463,Georgiyevka,KZ,78.84,scattered clouds,43.0369,74.7114,Gostinitsa Imperiya
465,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
466,Terrace,CA,80.51,few clouds,54.5163,-128.6035,Northern Motor Inn
468,Sorong,ID,77.61,broken clouds,-0.8833,131.25,Waigo Splash Hotel
473,Alexandria,EG,81.0,clear sky,31.2156,29.9553,Royal Crown Hotel
474,Domoni,KM,75.02,broken clouds,-12.2569,44.5319,Al Djadid
480,Cedar City,US,82.4,few clouds,37.6775,-113.0619,Hampton Inn Cedar City
484,Woodstock,CA,81.43,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
486,Coos Bay,US,79.99,scattered clouds,43.3665,-124.2179,Best Western Holiday Hotel
491,Avare,BR,78.26,few clouds,-23.0986,-48.9258,Hotel Rio Novo
497,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
498,Lucea,JM,81.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
500,Luganville,VU,77.86,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
502,Mumford,GH,75.27,broken clouds,5.2618,-0.759,Spanish Villa
508,Salinopolis,BR,81.84,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
513,Los Barrios,ES,80.44,clear sky,36.1848,-5.4921,Hotel Montera Plaza
516,Fare,PF,79.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
521,Boralday,KZ,76.86,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
525,Sur,OM,82.51,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
527,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
539,Mallaig,CA,80.73,clear sky,54.2169,-111.3685,
540,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
543,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
544,Wenling,CN,76.73,clear sky,28.3669,121.36,Hanting Express Wenling Wanchang North Road
545,La Asuncion,VE,82.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
547,Puerto Narino,CO,83.05,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
548,Kalmunai,LK,79.02,moderate rain,7.4167,81.8167,VS Villa
550,Kabalo,CD,82.0,clear sky,-6.05,26.9167,
551,Soc Trang,VN,78.22,clear sky,9.6033,105.98,Phu Quy Hotel
